method,weighted_f1
FS(prob>=0.5) > ProstT5,0.25425000000000003
FS(prob>=0.3) > CAT-LR,0.25266666666666665
FS(prob>=0.5) > CAT-LR,0.2514166666666667
FS(prob>=0.3) > MAJ(35M+150M+ProstT5),0.24966666666666668
FS(prob>=0.7) > CAT-LR,0.24891666666666665
FS(prob>=0.5) > ESM2-35M,0.24841666666666665
FS(prob>=0.5) > ESM2-150M,0.24833333333333332
FS(prob>=0.5) > MAJ(35M+150M+ProstT5),0.24783333333333332
FS(prob>=0.7) > MAJ(35M+150M+ProstT5),0.2445
CAT-2144D LR,0.1709166666666667
ProstT5 LR,0.17088095238095236
ESM2-35M LR,0.1608392857142857
ESM2-150M LR,0.13942261904761902
