method,weighted_f1,ensemble
ESM2-3B SVM-rbf-C1,0.12060604816639298,
ESM2-3B LogReg-C1,0.18822222222222224,
ESM2-3B kNN-1-cos,0.1745833333333333,
ESM2-3B kNN-3-cos,0.14363690476190474,
ESM2-3B kNN-5-cos,0.1618452380952381,
ESM2-3B RF-500,0.0725,
ESM2-3B NCM (cosine),0.118875,
,0.24391666666666667,Foldseek > ESM2-3B fallback
,0.2630833333333333,Foldseek(prob>=0.3) > ESM2-3B
,0.26391666666666663,Foldseek(prob>=0.5) > ESM2-3B
,0.2643333333333333,Foldseek(prob>=0.7) > ESM2-3B
,0.26458333333333334,Foldseek(prob>=0.9) > ESM2-3B
