experiment,method,weighted_f1
majority,FS(prob>=0.9) > MAJ(3B+ProstT5+150M),0.2668333333333333
majority,FS(prob>=0.7) > MAJ(3B+ProstT5+150M),0.26658333333333334
majority,FS(prob>=0.5) > MAJ(3B+ProstT5+150M),0.26616666666666666
majority,FS(prob>=0.3) > MAJ(3B+ProstT5+150M),0.2653333333333333
C-tune,FS(prob>=0.9) > ESM2-3B LR-C=1.0,0.26458333333333334
majority,FS(prob>=0.9) > MAJ(3B+ProstT5),0.26458333333333334
C-tune,FS(prob>=0.7) > ESM2-3B LR-C=1.0,0.2643333333333333
majority,FS(prob>=0.7) > MAJ(3B+ProstT5),0.2643333333333333
C-tune,FS(prob>=0.5) > ESM2-3B LR-C=0.3,0.2643333333333333
C-tune,FS(prob>=0.5) > ESM2-3B LR-C=0.01,0.26391666666666663
majority,FS(prob>=0.5) > MAJ(3B+ProstT5),0.26391666666666663
C-tune,FS(prob>=0.5) > ESM2-3B LR-C=1.0,0.26391666666666663
C-tune,FS(prob>=0.9) > ESM2-3B LR-C=0.01,0.26375
C-tune,FS(prob>=0.7) > ESM2-3B LR-C=0.01,0.26349999999999996
C-tune,FS(prob>=0.9) > ESM2-3B LR-C=0.3,0.2633333333333333
majority,FS(prob>=0.3) > MAJ(3B+ProstT5),0.2630833333333333
C-tune,FS(prob>=0.7) > ESM2-3B LR-C=0.3,0.2630833333333333
C-tune,FS(prob>=0.5) > ESM2-3B LR-C=0.1,0.26266666666666666
C-tune,FS(prob>=0.9) > ESM2-3B LR-C=0.1,0.26166666666666666
C-tune,FS(prob>=0.7) > ESM2-3B LR-C=0.1,0.26141666666666663
C-tune,FS(prob>=0.9) > ESM2-3B LR-C=10.0,0.26125
C-tune,FS(prob>=0.7) > ESM2-3B LR-C=10.0,0.26099999999999995
C-tune,FS(prob>=0.5) > ESM2-3B LR-C=10.0,0.26058333333333333
C-tune,FS(prob>=0.9) > ESM2-3B LR-C=3.0,0.26
concat,FS(prob>=0.5) > CAT(3B+ProstT5) LR-C=1.0,0.2599722222222222
C-tune,FS(prob>=0.7) > ESM2-3B LR-C=3.0,0.25975000000000004
concat,FS(prob>=0.5) > CAT(3B+ProstT5) LR-C=0.1,0.25975000000000004
C-tune,FS(prob>=0.5) > ESM2-3B LR-C=3.0,0.2593333333333333
concat,FS(prob>=0.5) > CAT(3B+ProstT5) LR-C=3.0,0.25916666666666666
concat,FS(prob>=0.9) > CAT(3B+ProstT5) LR-C=1.0,0.25753787878787876
concat,FS(prob>=0.7) > CAT(3B+ProstT5) LR-C=1.0,0.25733333333333336
concat,FS(prob>=0.9) > CAT(3B+ProstT5) LR-C=0.1,0.25629761904761905
concat,FS(prob>=0.7) > CAT(3B+ProstT5) LR-C=0.1,0.256047619047619
concat,FS(prob>=0.9) > CAT(3B+ProstT5) LR-C=3.0,0.25575
concat,FS(prob>=0.7) > CAT(3B+ProstT5) LR-C=3.0,0.2555
