feature_set,model,weighted_f1
combined,SVM-rbf-C1,0.019234048134303888
combined,RandomForest-100,0.024040920716112527
combined,LogReg-C1,0.020460358056265986
combined,kNN-1,0.006276353079422132
combined,kNN-3,0.008203281312525009
combined,kNN-5,0.002654055879940163
structural,SVM-rbf-C1,0.018925831202046033
structural,RandomForest-100,0.03725490196078431
structural,LogReg-C1,0.02898550724637681
structural,kNN-1,0.021653878942881497
structural,kNN-3,0.01723298014858117
structural,kNN-5,0.008701741566191693
sequence,SVM-rbf-C1,0.007973521889574245
sequence,RandomForest-100,0.01577152600170503
sequence,LogReg-C1,0.01636828644501279
sequence,kNN-1,0.0008007894206864714
sequence,kNN-3,0.0003702262093190468
sequence,kNN-5,0.002642796248934356
