k,weight,weighted_f1,hit_coverage,n_queries
1,bits,0.24461670973298877,0.9675,387
1,prob,0.24461670973298877,0.9675,387
1,lddt,0.24461670973298877,0.9675,387
1,alntmscore,0.24461670973298877,0.9675,387
1,uniform,0.24461670973298877,0.9675,387
3,alntmscore,0.2425987449243263,0.9675,387
3,bits,0.24160206718346253,0.9675,387
3,lddt,0.2412575366063738,0.9675,387
3,uniform,0.24031007751937986,0.9675,387
3,prob,0.23987941429801893,0.9675,387
20,bits,0.23927648578811367,0.9675,387
5,bits,0.23789836347975882,0.9675,387
10,bits,0.23695090439276484,0.9675,387
5,prob,0.23195521102497843,0.9675,387
5,uniform,0.2291989664082687,0.9675,387
10,alntmscore,0.2285960378983635,0.9675,387
20,prob,0.22609819121447028,0.9675,387
10,prob,0.22532299741602063,0.9675,387
5,lddt,0.22291128337639962,0.9675,387
10,lddt,0.22239448751076657,0.9675,387
5,alntmscore,0.22041343669250646,0.9675,387
20,alntmscore,0.21714039621016365,0.9675,387
20,lddt,0.21326442721791558,0.9675,387
10,uniform,0.2106804478897502,0.9675,387
20,uniform,0.1945736434108527,0.9675,387
