feature,min_members,min_enrichment,n_classes,n_predicted,weighted_f1
triples,3,5.0,371,385,0.016491127243395843
triples,3,2.0,389,385,0.014371282149223324
triples,4,10.0,269,385,0.013485119047619048
triples,3,10.0,347,385,0.013420138888888888
triples,5,2.0,281,385,0.012243990944493098
triples,5,10.0,163,385,0.012156084656084656
triples,4,2.0,357,385,0.01137075643654591
triples,4,5.0,328,385,0.011253187619286691
triples,5,5.0,227,385,0.010822940287226
pairs,5,2.0,254,341,2.702702702702703e-05
pairs,3,5.0,21,76,0.0
pairs,3,2.0,291,341,0.0
pairs,5,10.0,0,0,0.0
pairs,5,5.0,19,76,0.0
pairs,4,2.0,280,341,0.0
pairs,3,10.0,0,0,0.0
pairs,4,5.0,20,76,0.0
pairs,4,10.0,0,0,0.0
