feature,min_members,min_enrichment,n_classes,avg_motifs_per_class,n_predicted,weighted_f1
pairs,3,25.0,388,101.61855670103093,389,0.03485355948399427
pairs,4,10.0,368,71.02445652173913,389,0.02400057603686636
pairs,4,25.0,344,46.40988372093023,388,0.02361111111111111
pairs,3,10.0,393,184.6946564885496,389,0.022764240392241692
pairs,5,10.0,283,27.890459363957596,388,0.019424706388063182
pairs,5,25.0,254,20.30314960629921,387,0.016607804232804235
pairs,4,5.0,374,82.70588235294117,390,0.015402777777777779
pairs,4,2.0,381,91.40944881889764,390,0.01313973063973064
triples,3,25.0,302,18.403973509933774,318,0.012835497835497835
triples,3,2.0,306,18.947712418300654,318,0.012047619047619047
triples,3,5.0,306,18.947712418300654,318,0.012047619047619047
triples,4,10.0,173,8.254335260115607,251,0.011454545454545455
triples,4,25.0,166,8.283132530120483,230,0.011454545454545455
triples,4,2.0,174,8.24712643678161,251,0.011454545454545455
triples,4,5.0,174,8.24712643678161,251,0.011454545454545455
triples,3,10.0,306,18.705882352941178,318,0.011180555555555556
pairs,5,2.0,322,32.27018633540373,390,0.007979761904761904
pairs,5,5.0,307,30.120521172638437,390,0.007819325982941544
pairs,3,2.0,394,254.03807106598984,390,0.005983568997119664
pairs,3,5.0,394,226.46700507614213,390,0.005853174603174602
triples,5,2.0,61,5.573770491803279,152,0.00041666666666666664
triples,5,5.0,61,5.573770491803279,152,0.00041666666666666664
triples,5,10.0,61,5.573770491803279,152,0.00041666666666666664
triples,5,25.0,60,5.533333333333333,102,0.00041666666666666664
